,Chinook Salmon,Industrial statistics,,Family,,Environmental protection,Snow,,Lithology,"Cold Harbor, Battle of, Va., 1864",Land use,Flues,Bathymetry,Pavements,Recreation areas,Libraries,Street cleaning,Aqueducts,Groundwater,,,,
,Fishes Habitat,Federal aid,,Industries,,Watershed management,Natural gas,,"Maps, topographic",Transportation,Water quality,Gazetteers,Maps,"Maps, Outline and base.",Place names,Postal service,Cemeteries,Airports,Floods,,,,
,Steelhead (Fish),Gross domestic product,,Agriculture Statistics,,Wildlife habitat,Geomagnetism,,Watersheds,Rivers,National parks and preserves,Airports,Hull Yacht Club,Roads,Airports,Sewerage,Racetracks (Automobile racing),Street cleaning,Lakes,,,,
,Rare animals,Continents,,Steel-works,,Hazardous wastes,"Geology, Structural",,Remote sensing maps,"Prestonpans, Battle of, Prestonpans, Scotland, 1745",Salt marshes,Service stations,Discovery and exploration,Watershed management,Historic buildings,Public schools,Neighborhood,Sewer-pipe,Insurance,,,,
,Forests and forestry,Shellfish,,Population Statistics,,Wetland restoration,Physiographic provinces,,Crops,Census,Groundwater disposal,Place names,Marine ecological regions,Maps,Income Statistics,Traffic signs and signals,Pipelines,Electric power distribution,Shipping,,,,
,Peatlands,United States. Congress.,,Economic development,,Emergency water supply,Wells,,Earth Surface,Military bases,Islands,Recreation areas,Scientific expeditions,Barrier-free design,Cemeteries,Trailer camps,Centers for the performing arts,Cemeteries,Aqueducts,,,,
,Atlantic White Cedar,Marine resources,,Shopping,,Animal diversity conservation,Boundaries,,Vegetation boundaries,Maps,Water-supply,Wind turbines,Beacons,Iron-works,Centers for the performing arts,Storage facilities,Helicopters,Pipelines,,,,,
,Forests,Food and Agriculture Organization of the United Nations,,Information technology parks,,Marine ecological regions,Sand dunes,,Coral reefs and islands,"Antietam, Battle of, Md., 1862",Sockeye salmon,Cemeteries,Breakwaters,Taxation,Literacy,Lakes,"Railroads, elevated",Telecommunication lines,,,,,
,Orchards,Recreation areas,,Demography,,Plants Habitat,Gold mines and mining,,Warehouses,"Sherman, William T. (William Tecumseh), 1820-1891",Water,Neighborhood,Oceanography,Trees,Housing,Geophysical prospecting,World maps,Telephone area codes,,,,,
,Weirs,Economic assistance,,Sex Statistics,,Vegetation,Landslide hazard analysis,,"Sociology, Urban",Public utilities,Names (Geographical),Quality control,Wells,Historic districts,Ethnicity,Water towers,Oil fields,Water quality monitoring stations,,,,,
,Swamps,Historic buildings,,Health status indicators,,Anadromous fishes,Faults (Geology),,Lakes,"Spotsylvania Court House, Battle of, Va., 1864",Flood insurance,Literacy,Boundaries,Vegetation,Educational tests and measurements,Petroluem refineries,Villages,Oil fields,,,,,
,Biodiversity conservation,Airports,,Shopping centers,,Natural gas,Transportation,,Continents,Sieges,Maps,World maps,Bathymetric maps,Economic development,Ethnology,Hospitals,Traffic density,Drainage pipes,,,,,
,Plant diversity conservation,Place names,,Labor supply,,Natural resources conservation areas,Natural gas reserves,,Ocean temperature,Coast defenses,Wildlife habitat,Urban land use,Anchorage,Farms,Political parties,Monuments,"Cranes, derricks, etc.",Electric power-plants,,,,,
,Oncorhynchus,Enterprise zones,,Mills and mill-work,,Parks,Volcanic eruptions,,Public utilities,"Quebec Campaign, 1759",Classification,Oil fields,"Territory, National",Economic zones (Law of the sea),Villages,Exhibitions,Waterways,Wellheads,,,,,
,Chum salmon,Street cleaning,,Research parks,,Physiographic provinces,Earthquake hazard analysis,,Exhibitions,"Austrian Succession, War of, 1740-1748",Discovery and exploration,Bench-marks,Hydrography,Dams,U.S. states,Public utilities,Highway,Gas wells,,,,,
,Sandy soils,Income Statistics,,Boundaries,,Factory and trade waste,Sand,,"Great Fire, Chicago, Ill., 1871",Power plants,Emergency water supply,Villages,Ditches,Building Inspectors,Municipal buildings,Ski lifts,Subway stations,Gas fields,,,,,
,Ponds,Neighborhood,,Census districts,,Water districts,Salt pans,,History,History,Wetland restoration,Gas wells,Sounding and soundings,Parks,Elementary schools,Power plants,Electric lines,Fuelbreaks,,,,,
,Rare plants,Telephone area codes,,Gold mines and mining,,Rare animals,Human settlements,,Recreation,"Siege, 1775-1776",Marshes,"Cranes, derricks, etc.",Transportation,Pedestrian areas,Middle schools,Recreation,Buses,Electric lines,,,,,
,Vineyards,Quality control,,"Territory, National",,Refuse disposal facilities,Flumes,,Banks (Oceanography),Recreation areas,Coho salmon,Sluice gates,Groundwater,City blocks,Government aid to education,Aqueducts,Navy-yards and naval stations,Storm sewers,,,,,
,Fisheries,Literacy,,Unemployment,,Environmental quality,Biodiversity conservation,,Recreation areas,"Maps, Manuscript",Anadromous fishes,Fords (Stream crossings),Shipping,Muncipal finance,Minority students,Recreation areas,Administrative and political districts,Pumping machinery,,,,,
,Floodplains,Property tax,,Education Statistics,,Forests and forestry,Administrative and political divisions,,"Maps, Manuscript",Nautical charts,Scientific expeditions,German states,Weirs,Boundaries,Demographic surveys,Flues,Economic zones,Water-pipes,,,,,
,Lobsters,Housing,,Economic statistics,,Hydrography,Earthquake zones,,Airports,,Military installations,Rocks,Human settlements,Census districts,Social indicators,Airports,Infrastructure (Economics),Administrative and political districts,,,,,
,Vernal pools,Urban land use,,Life expectancy,,"Recycling (Waste, etc.)",Sandy soils,,"Geography, Ancient",,Streamflow,Tennis courts,Contours,Neighborhood planning,Organization of Petroleum Exporting Countries,Service stations,Local transit,Hydraulic structures,,,,,
,Environment,Ethnicity,,Counties,,Peatlands,Hot springs,,Tide mills,,Fishes Habitat,Beaches,"Names, Geographical",Roofs,Infrastructure (Economics),Historic buildings,Railroads Crossings,Infrastructure (Economics),,,,,
,Hydrology,Educational tests and measurements,,Municipal government,,Open spaces,Fisheries,,Historic buildings,,Chinook Salmon,Bodies of water,Biodiversity conservation,Commercial real estate,Naturalization,"Maps, Manuscript",Runways (Aeronautics),"Cables, Submarine",,,,,
,Pitch pine,Political parties,,Households,,Atlantic White Cedar,Debris avalanches,,Cemeteries,,Steelhead (Fish),County government,Administrative and political divisions,Urbanization,Election districts,Wind turbines,Driveways,Intakes (Hydraulic engineering),,,,,
,Fish populations,Villages,,Metropolitan areas,,Natural gas reserves,Mountain passes,,Geomorphology,,Dams,Culture and tourism,Fortification,Public lands,Beaches,Athletic fields,Bodies of water,Hydrants,,,,,
,Rivers,U.S. states,,Transportation,,Groundwater,Caves,,Geology,,Natural resources conservation areas,Grides(Cartography),Shorelines,Tax assessment,Bodies of water,Cemeteries,"Camp sites, facilities, etc",Salt mines and mining,,,,,
,Vernal pool ecology,Rehabilitation centers,,Industrial districts,,Forests,Coal mines and mining,,"Railroads, elevated",,Parks,Petroleum refineries,Sand bars,Historic sites,Radio broadcasting,Racetracks (Automobile racing),Runways,Bodies of water,,,,,
,Habitat (Ecology),Demographic surveys,,"Migration, Internal",,Water Pollution potential,Oil wells,,World maps,,Wells,Railroads,Channels (Hydraulic engineering),Sidewalks,Culture and tourism,Centers for the performing arts,Regional planning,Radio broadcasting,,,,,
,Natural areas,Elementary schools,,Ethnic groups Statistics,,Biodiversity conservation,Mines and mining,,Ethnology,,Water districts,Land use,Coastal settlements,Servitudes,Childbirth statistics,Pipelines,Motor vehicles,Runways,,,,,
,Cutthroat trout,Middle schools,,Caste,,Environmentally sensitive areas,Cities and towns,,"Maps, Tourist",,Rapids,Real property,Reefs,Open spaces,Elections,Housing,Fences,Petroleum refineries,,,,,
,Marine fisheries,Government aid to education,,Food relief,,Forest reserves,Soils,,Ice -- Manufacture,,Flood forecasting,Capitals (Cities),Fisheries,Greenbelts,Railroads,Urban land use,Radio Receivers and reception,Waterworks,,,,,
,Shrubs,Minority students,,Weirs,,Plant diversity conservation,Landslides,,Villages,,Public lands,Huts,Shorelines Monitoring,Metropolitan areas,International cooperation,Oil fields,Petroleum refineries,Railroads,,,,,
,,German states,,Economic indicators,,Nature preserves,Ice fields,,Traffic density,,Hydrography,Tide stations,Voyages and travels,Indian Reservations,Land use,Cables,Railroads,Land use,,,,,
,,Social indicators,,Human settlements,,Reserves,Glaciers,,Magnetic declination,,Peatlands,Population,Trading posts,Transportation,Colonies,Bench-marks,Land use,Water quality,,,,,
,,Administrative and political districts,,Biotechnology industries,,local park or forest,Erosion,,Deserts,,Ditches,Islands,Lobsters,Military bases,Languages,Public libraries,National parks and preserves,Real property,,,,,
,,Aquatic habitat,,Heating Statistics,,Sandy soils,Geology,,Fords (Stream crossings),,Stream measurement,Surveying,Coasts,"Insurance, Fire",International Monetary Fund,Nursing homes,Real property,Groundwater disposal,,,,,
,,Organization of Petroleum Exporting Countries,,Occupations,,Ponds,Hazard mitigation,,Wetland ecology,,Atlantic White Cedar,Moors (Wetlands),"United States History Revolution, 1775-1783",City Planning,Population,Gas wells,Employment,Islands,,,,,
,,Economic zones,,Occupations Statistics,,Rare plants,,,Volcanoes,,Transportation,Medical centers,Cities and towns,Building laws,Conquerors,Municipal buildings,Islands,Gas industry,,,,,
,,Infrastructure (Economics),,Administrative and political divisions,,National parks and reserves,,,"Corinth, Battle of, Corinth, Miss., 1862",,Groundwater,Bus terminals,Navigation,Human settlements,HIV (viruses) Statistics,Waterways,Transportation buildings,Water-supply,,,,,
,,Municipal revenue,,Employment (Economic theory),,Sanitation,,,Rocks,,Floods,Names (Geographical),Oceans,Ramps (Walkways),School districts,"Cranes, derricks, etc.",Regattas,Gas manufacture and works,,,,,
,,Naturalization,,Shopping malls,,Urban runoff,,,Water-pipes,,Military bases,Hotels,Ocean currents,Buildings,Minorities,Sluice gates,Water,Names (Geographical),,,,,
,,Election districts,,Fisheries,,Fisheries,,,Discoveries in geography,,Water Pollution potential,Longitude,Rivers,Forest reserves,Zoos,Electric lines,Causeways,Maps,,,,,
,,Bodies of water,,Consumers,,Hazardous waste treatment facilities,,,Infrastructure (Economics),,Weirs,Capes (Coasts),Nautical charts,Administrative and political divisions,Population geography,Post office buildings,Bus terminals,Sewer districts,,,,,
,,Indian reservations,,Marketing,,Floodplains,,,Election districts,,Universities and colleges,Human Settlements,,Right of way,Catholic Church,Fountains,Pavements,Industries,,,,,
,,County government,,Factories,,Coal mines and mining,,,Railroads Crossings,,Swamps,Radio beacons,,Shorelines,World Health Organization,Hydraulic structures,Names (Geographical),Wachtowers,,,,,
,,Lava flows,,Payrolls,,Vernal pools,,,Beaches,,Artesian wells,Industries,,Municipal engineering,Bus terminals,Tennis courts,Bicycle parking,Emergency water supply,,,,,
,,Motor vehicles,,Labor supply Statistics,,Environment,,,Bodies of water,,Human settlements,Post office stations and branches,,Real Property,Dwellings,Infrastructure (Economics),Pipeline,Oil storage tanks,,,,,
,,Fences,,Economic zoning,,Hydrology,,,"Camp sites, facilities, etc",,Flumes,Trees,,Landowners,Names (Geographical),Intakes (Hydraulic engineering),Hotels,Water utilities,,,,,
,,Elections,,Office buildings,,Wilderness areas,,,Lava flows,,"Names, Geographical",Quarries and quarrying,,Acquisition of territory,"Maps, Outline and base.",Runways (Aeronautics),Highways,Power transmission,,,,,
,,Railroads,,Cities and towns,,Pitch pine,,,Petrology,,Biodiversity conservation,Population Statistics,,Economic zoning,Human geography,Bodies of water,Roads,Water distribution,,,,,
,,International cooperation,,Real estate management,,Parkways,,,Fires,,Environmentally sensitive areas,Church buildings,,Median strips,United Nations. General Assembly,Historic preservation,Subways,Telecommunications,,,,,
,,Land use,,Welfare recipients,,Rivers,,,Fences,,Infrastructure,Chimneys,,Land grants,African American students,"Camp sites, facilities, etc",Maps,Gas companies,,,,,
,,Zoning,,Commercial buildings,,Water quality management,,,Waterworks,,"Camp sites, facilities, etc.",Beacons,,Cities and towns,Maps,Culture and tourism,Bridges,Telephone Area codes,,,,,
,,Land use Planning,,Census,,Vernal pool ecology,,,Rice,,Oncorhynchus,Ruins,,Industrial real estate,Canadian provinces,Locks (Hydraulic engineering),Hull Yacht Club,Radio and television towers,,,,,
,,Sexually transmitted diseases,,Vital statistics,,Habitat (Ecology),,,Cliffs,,Shorelines,Farms,,Parkways,Childbirth Statistics,Fences,Railroad tunnels,Petroleum industry and trade,,,,,
,,Real property,,Retail trade,,Natural areas,,,Garden Paths,,Chum salmon,Tourism,,Rivers,Ethnic groups,Petroleum refineries,Railroad stations,Dams,,,,,
,,Languages,,Purchasing power,,Marine fisheries,,,Railroads,,Ponds,Political divisions,,Taxation rates,Family,Waterworks,Aeronautical charts,Pumping stations,,,,,
,,Employment,,,,Geology,,,Travel,,Channels (Hydraulic engineering),Cities,,Cadastral maps,Scholastic Aptitude Test,Railroads,Discovery and exploration,Chemical plants,,,,,
,,State governments,,,,Hazard mitigation,,,Land use,,Hot springs,Industrial buildings,,Streets,Juvenile delinquents,Emergency management,Rails,Water pipes,,,,,
,,Physicians,,,,,,,Landscape,,Urban runoff,Information technology parks,,Natural areas,Discovery and exploration,Land use,Industries,Natural resources conservation areas,,,,,
,,Neighborhoods,,,,,,,Colonies,,Fisheries,Demography,,,Agriculture Statistics,National parks and preserves,Piers,Watchtowers,,,,,
,,"Land use, Urban",,,,,,,Zoning,,lakes,Dams,,,Population Statistics,Jetties,Chimneys,Petroleum products underground storage,,,,,
,,International Monetary Fund,,,,,,,Real property,,Canals,Mountain resorts,,,Shopping,Real property,Scientific expeditions,Pipes,,,,,
,,Population,,,,,,,Land Use,,Shorelines Monitoring,Relics,,,Citizenship,Tide stations,Beacons,Towers,,,,,
,,Islands,,,,,,,Orthophotography,,Floodplains,Watchtowers,,,Tourism,Transportation buildings,Military installations,Wells,,,,,
,,Real property prices,,,,,,,"Land use, Urban",,Bayous,Geographical positions,,,States,Islands,Industrial buildings,Boundaries,,,,,
,,Surveying,,,,,,,Islands,,Valleys,Sex Statistics,,,Cities,Gas industry,Bicycle lanes,Tanks,,,,,
,,School districts,,,,,,,Population,,Springs,Marinas,,,Demography,Medical centers,One-way streets,Television broadcasting,,,,,
,,HIV (viruses) Statistics,,,,,,,Conquerors,,Trading posts,Parks,,,World Meteorological Organization,Population geography,Parking meters,Water districts,,,,,
,,Minorities,,,,,,,Water-supply,,Vernal pools,Towers,,,Dams,Water,Breakwaters,Poles,,,,,
,,Urban economics,,,,,,,Great Wall of China (China),,Hydrology,City blocks,,,Crime,Gas manufacture and works,Dams,Refuse disposal facilities,,,,,
,,Population geography,,,,,,,Moors (Wetlands),,Coasts,Shopping centers,,,Relics,Agriculture,Express highway interchanges,Storage tanks,,,,,
,,World Health Organization,,,,,,,Regattas,,Cities and towns,Labor supply,,,Correctional institutions,Bus terminals,Bicycle trails,Sewage purification,,,,,
,,Industries Classification,,,,,,,Population geography,,Lagoons,Research parks,,,United States Congress,Names (Geographical),Railroad Stations,Runoff,,,,,
,,Dwellings,,,,,,,Catholic Church,,Fish populations,Wells,,,Sex Statistics,Dwellings,Trains,Hydrography,,,,,
,,International boundaries,,,,,,,Agriculture,,Penstocks,Boundaries,,,Legislators,Hotels,Street-railroads,"Recycling (Waste, etc.)",,,,,
,,U.S. States,,,,,,,Earthquakes,,Glaciers,Anchorage,,,Health status indicators,Roads,Earthwork,Sidewalks,,,,,
,,Business enterprises,,,,,,,Names (Geographical),,Parkways,Windmills,,,Parks,Capes (Coasts),Parks,Telecommunication,,,,,
